Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
2017-01-01,2017,01,01,,-6.7,,-21.8,,-14.3,,32.3,,0.0,,,M,,M,1.2,,21,,36,,43,
2017-01-02,2017,01,02,,-14.7,,-24.9,,-19.8,,37.8,,0.0,,,M,,M,0.0,,22,,,,<31,
2017-01-03,2017,01,03,,-14.4,,-22.3,,-18.4,,36.4,,0.0,,,M,,M,0.0,,22,,,,<31,
2017-01-04,2017,01,04,,-11.2,,-17.8,,-14.5,,32.5,,0.0,,,M,,M,0.0,T,22,,,,<31,
2017-01-05,2017,01,05,,-10.3,,-14.8,,-12.6,,30.6,,0.0,,,M,,M,2.2,,22,,,,<31,
2017-01-06,2017,01,06,,-6.2,,-12.9,,-9.6,,27.6,,0.0,,,M,,M,4.1,,27,,3,,37,
2017-01-07,2017,01,07,,-8.0,,-18.4,,-13.2,,31.2,,0.0,,,M,,M,1.5,,29,,1,,50,
2017-01-08,2017,01,08,,-14.6,,-27.3,,-21.0,,39.0,,0.0,,,M,,M,0.0,,37,,,,<31,
2017-01-09,2017,01,09,,-11.6,,-26.1,,-18.9,,36.9,,0.0,,,M,,M,4.1,,35,,2,,54,
2017-01-10,2017,01,10,,-19.3,,-31.2,,-25.3,,43.3,,0.0,,,M,,M,0.0,,33,,,,<31,
2017-01-11,2017,01,11,,-18.7,,-30.6,,-24.7,,42.7,,0.0,,,M,,M,0.0,T,33,,,,<31,
2017-01-12,2017,01,12,,-14.2,,-31.0,,-22.6,,40.6,,0.0,,,M,,M,0.0,,32,,,,<31,
2017-01-13,2017,01,13,,-7.6,,-14.2,,-10.9,,28.9,,0.0,,,M,,M,0.6,,33,,18,,41,
2017-01-14,2017,01,14,,-3.0,,-7.8,,-5.4,,23.4,,0.0,,,M,,M,0.0,T,29,,18,,44,
2017-01-15,2017,01,15,,-0.5,,-4.3,,-2.4,,20.4,,0.0,,,M,,M,0.3,,33,,20,,44,
2017-01-16,2017,01,16,,4.5,,-1.5,,1.5,,16.5,,0.0,,,M,,M,4.0,,33,,18,,67,
2017-01-17,2017,01,17,,6.8,,1.1,,4.0,,14.0,,0.0,,,M,,M,9.6,,25,,17,,54,
2017-01-18,2017,01,18,,7.0,,3.4,,5.2,,12.8,,0.0,,,M,,M,1.1,,15,,16,,50,
2017-01-19,2017,01,19,,5.6,,0.3,,3.0,,15.0,,0.0,,,M,,M,0.0,T,13,,20,,35,
2017-01-20,2017,01,20,,5.6,,-5.5,,0.1,,17.9,,0.0,,,M,,M,0.0,T,12,,19,,32,
2017-01-21,2017,01,21,,-0.7,,-4.1,,-2.4,,20.4,,0.0,,,M,,M,0.0,,12,,36,,35,
2017-01-22,2017,01,22,,-2.9,,-5.1,,-4.0,,22.0,,0.0,,,M,,M,0.0,,11,,36,,32,
2017-01-23,2017,01,23,,-0.8,,-7.1,,-4.0,,22.0,,0.0,,,M,,M,0.0,,11,,,,<31,
2017-01-24,2017,01,24,,-3.2,,-12.8,,-8.0,,26.0,,0.0,,,M,,M,0.0,,11,,,,<31,
2017-01-25,2017,01,25,,1.5,,-7.9,,-3.2,,21.2,,0.0,,,M,,M,0.0,,11,,,,<31,
2017-01-26,2017,01,26,,3.3,,-8.1,,-2.4,,20.4,,0.0,,,M,,M,0.2,,11,,18,,44,
2017-01-27,2017,01,27,,4.1,,0.3,,2.2,,15.8,,0.0,,,M,,M,1.7,,10,,18,,52,
2017-01-28,2017,01,28,,6.6,,3.8,,5.2,,12.8,,0.0,,,M,,M,1.5,,10,,17,,61,
2017-01-29,2017,01,29,,5.7,,-0.9,,2.4,,15.6,,0.0,,,M,,M,12.5,,7,,17,,32,
2017-01-30,2017,01,30,,-0.1,,-11.6,,-5.9,,23.9,,0.0,,,M,,M,0.0,,12,,4,,39,
2017-01-31,2017,01,31,,-6.2,,-16.5,,-11.4,,29.4,,0.0,,,M,,M,0.0,,11,,,,<31,
2017-02-01,2017,02,01,,-9.7,,-16.4,,-13.1,,31.1,,0.0,,,M,,M,0.0,,11,,,,<31,
2017-02-02,2017,02,02,,-11.2,,-13.7,,-12.5,,30.5,,0.0,,,M,,M,0.0,,12,,,,<31,
2017-02-03,2017,02,03,,-8.3,,-16.9,,-12.6,,30.6,,0.0,,,M,,M,1.7,,12,,1,,52,
2017-02-04,2017,02,04,,-9.4,,-15.5,,-12.5,,30.5,,0.0,,,M,,M,0.5,,11,,36,,39,
2017-02-05,2017,02,05,,-10.7,,-18.4,,-14.6,,32.6,,0.0,,,M,,M,1.9,,11,,36,,46,
2017-02-06,2017,02,06,,-12.1,,-22.1,,-17.1,,35.1,,0.0,,,M,,M,1.7,,11,,3,,48,
2017-02-07,2017,02,07,,-14.8,,-26.3,,-20.6,,38.6,,0.0,,,M,,M,0.0,,11,,,,<31,
2017-02-08,2017,02,08,,-14.4,,-28.0,,-21.2,,39.2,,0.0,,,M,,M,0.0,,11,,,,<31,
2017-02-09,2017,02,09,,-12.4,,-22.6,,-17.5,,35.5,,0.0,,,M,,M,3.4,,11,,,,<31,
2017-02-10,2017,02,10,,-9.2,,-19.1,,-14.2,,32.2,,0.0,,,M,,M,20.6,,20,,,,<31,
2017-02-11,2017,02,11,,0.1,,-14.5,,-7.2,,25.2,,0.0,,,M,,M,8.9,,39,,19,,43,
2017-02-12,2017,02,12,,3.6,,-1.1,,1.3,,16.7,,0.0,,,M,,M,1.4,,34,,19,,52,
2017-02-13,2017,02,13,,6.5,,-4.5,,1.0,,17.0,,0.0,,,M,,M,0.0,,31,,18,,41,
2017-02-14,2017,02,14,,8.2,,-7.5,,0.4,,17.6,,0.0,,,M,,M,0.0,,26,,18,,35,
2017-02-15,2017,02,15,,11.9,,4.0,,8.0,,10.0,,0.0,,,M,,M,9.6,,17,,18,,65,
2017-02-16,2017,02,16,,7.6,,1.7,,4.7,,13.3,,0.0,,,M,,M,3.2,,6,,20,,43,
2017-02-17,2017,02,17,,3.9,,-4.4,,-0.3,,18.3,,0.0,,,M,,M,0.0,,5,,25,,37,
2017-02-18,2017,02,18,,2.6,,-5.2,,-1.3,,19.3,,0.0,,,M,,M,0.0,,5,,2,,32,
2017-02-19,2017,02,19,,1.0,,-2.8,,-0.9,,18.9,,0.0,,,M,,M,0.0,T,5,,,,<31,
2017-02-20,2017,02,20,,1.2,,-1.8,,-0.3,,18.3,,0.0,,,M,,M,1.5,,6,,,,<31,
2017-02-21,2017,02,21,,2.4,,-6.6,,-2.1,,20.1,,0.0,,,M,,M,2.3,,8,,,,<31,
2017-02-22,2017,02,22,,0.2,,-8.6,,-4.2,,22.2,,0.0,,,M,,M,0.0,,7,,27,,32,
